issue_id,category,scope,problem_statement,evidence,responsibility_role,disposition,status,delivery_tier,in_scope_now,last_reviewed
STA-004,status_determination,MD panels,一个MD面板成功不能代表全部Panel完成,md_plan_figures按每个Panel分别验收,结构模拟人员,按Panel状态判定完成,resolved_verified,T1,yes,2026-09-23
STA-005,status_determination,MM-PBSA,只有总能量不能满足残基分解面板,代码将total-only标记为未完成,结构模拟人员,保持Fig5h未完成直到残基分解和误差可用,not_run,T2,no,2026-09-23
CODE-001,code_defect,GRN and coexpression,NumPy 2.4下对只读DataFrame.values调用fill_diagonal会抛出underlying array is read-only,knockout和insilico回归测试复现并修复,分析开发人员,复制数组后修改并保持索引列名,resolved_verified,T1,yes,2026-09-23
CODE-002,code_defect,Figure5b PLIP,PLIP 3.0.1依赖Open Babel inchikey格式但当前wheel不含该插件,真实APP pose首次运行失败；进程内兼容写回后输出21个相互作用,结构模拟人员及分析开发人员,在隔离锁内运行兼容写回并在状态中记录补丁,resolved_verified,T1,yes,2026-09-23
STA-006,status_determination,Figure audit,静态REVIEWS会把实际R方法状态显示成旧替代方法,新增从ppi_summary、CellChat summary、insilico_summary和fig5b_status读取动态状态,分析开发人员,按真实summary覆盖Panel状态说明,resolved_verified,T1,yes,2026-09-23
TRC-001,traceability,cache and manifests,相同基因数量但不同基因名单可能错误复用缓存,缓存键纳入内容哈希参数和软件版本,分析开发人员,旧缓存自动失效并记录run_id,resolved_verified,T1,yes,2026-09-23
TRC-002,traceability,MD provenance,不能按修改时间猜测轨迹,运行改为target_id ligand_id run_id绑定,结构模拟人员,保留manifest和输入哈希,resolved_verified,T1,yes,2026-09-23
TRC-003,traceability,CellChat resources,全基因导出生成1.26GB MatrixMarket并占用约4GB内存,真实31922细胞运行耗时较长；过滤到1057个CellChat数据库基因后矩阵降至约34MB,分析开发人员,先按数据库符号过滤并记录基因和细胞抽样参数,resolved_verified,T1,yes,2026-09-23
TRC-004,traceability,donor mapping,GSM数量不能代表患者或动物重复,donor_mapping.tsv记录library donor biological_unit mapping_status evidence和conflict,分析开发人员,按accession建立library到donor映射且保留unresolved状态,resolved_verified,T1,yes,2026-09-24
RES-001,external_resource,licensed databases,GeneCards OMIM TTD缺少合法导出,运行时状态为unavailable,研究负责人,缺少来源时blocked并允许开放来源替代但改名,blocked,T2,no,2026-09-23
RES-002,external_resource,same-endpoint validation,缺少未参与调参的同终点独立队列,当前只有既往暴露过的GSE135251,研究负责人,寻找新队列或限定验证强度,blocked,T2,no,2026-09-23
RES-003,external_resource,single-cell replication,GSE270583没有足够独立动物重复,样本清单明确不足,研究负责人及实验人员,补充动物实验或保持描述性,blocked,T2,no,2026-09-23
RES-004,full_rerun,all stages,完整真实全流程尚未重跑,当前只有针对性测试和真实数据冒烟核查,研究负责人及分析开发人员,在T2评审前执行冻结版本全流程,not_run,T2,no,2026-09-23
RES-005,not_executed,Figure5d-5g,真实100 ns生产轨迹未运行,md_plan_figures状态为not_run或prepared,结构模拟人员,完成真实轨迹和收敛分析前保持not_run,not_run,T2,no,2026-09-23
RES-006,not_executed,Figure5h,MM-PBSA残基分解未运行,缺少分解TOTAL和误差文件,结构模拟人员,完成真实分解前保持not_run,not_run,T2,no,2026-09-23
RES-007,external_resource,licensed source certificates,GeneCards OMIM TTD缺少本地导出和授权凭证,source_authorizations.frozen.json记录blocked_missing_file或reference,研究负责人,获得合法导出及授权引用后更新配置并重新冻结,blocked,T2,no,2026-09-24
RES-008,external_resource,independent same-endpoint cohort,缺少未参与开发的同终点队列,GSE126848已下载并按文件SHA256冻结为reserved_not_evaluated,研究负责人及分析开发人员,模型冻结后仅评价一次且不得重新筛选特征,resolved_verified,T2,yes,2026-09-24
RES-009,not_executed,external validation evaluation,GSE126848尚未在冻结模型上评价,external_validation_registry记录completed_evaluation_count为0,分析开发人员,完成训练模型冻结和环境锁后执行单次外部评价,not_run,T2,no,2026-09-24
EXP-001,experimental_validation,causal claims,缺少暴露干预救援与直接结合实验,experimental_validation_manifest已冻结3项protocol_only记录但completed_verified为0,实验人员,因果主张保持blocked直到真实实验和伦理材料完成,blocked,T3,no,2026-09-24
